state_time,ank_ang,mot_ang,mot_cur
17815,3924,23656,792
17825,3915,23549,799
17835,3908,23455,795
17845,3901,23385,801
17855,3897,23313,803
17865,3888,23211,796
17875,3879,23098,797
17885,3870,22991,801
17895,3863,22906,805
17905,3855,22813,797
17915,3847,22717,797
17925,3839,22617,797
17935,3831,22528,804
17945,3823,22434,803
17955,3814,22326,795
17965,3804,22203,792
17975,3796,22092,804
17985,3788,22006,808
17995,3780,21918,800
18005,3773,21822,802
18015,3765,21716,797
18025,3755,21611,796
18035,3747,21510,796
18045,3737,21401,798
18055,3730,21284,795
18065,3720,21179,805
18075,3712,21084,806
18085,3706,20985,797
18095,3695,20862,791
18105,3686,20735,804
18115,3676,20629,806
18125,3668,20521,790
18135,3658,20405,798
18145,3649,20292,805
18155,3641,20191,811
18165,3631,20066,786
18175,3621,19928,791
18185,3610,19799,806
18195,3601,19686,801
18205,3592,19579,799
18215,3583,19468,801
18225,3574,19349,793
18235,3565,19232,800
18245,3555,19104,796
18255,3545,18985,798
18265,3537,18886,808
18275,3528,18794,801
18285,3520,18701,802
18295,3512,18586,792
18305,3501,18473,808
18315,3493,18374,805
18325,3486,18280,796
18335,3478,18178,794
18345,3469,18080,803
18355,3460,17986,796
18365,3452,17887,800
18375,3442,17763,788
18385,3432,17639,794
18395,3423,17539,808
18405,3415,17437,798
18415,3405,17324,797
18425,3395,17199,793
18435,3385,17077,799
18445,3376,16951,794
18455,3362,16813,796
18465,3351,16678,808
18475,3341,16554,809
18485,3327,16417,789
18495,3315,16272,797
18505,3303,16134,806
18515,3290,16001,797
18525,3279,15873,803
18535,3269,15745,803
18545,3256,15620,801
18555,3245,15487,796
18565,3232,15343,794
18575,3220,15212,804
18585,3210,15096,803
18595,3197,14971,794
18605,3185,14839,791
18615,3174,14718,809
18625,3162,14591,791
18635,3149,14455,793
18645,3136,14332,805
18655,3126,14214,793
18665,3113,14084,794
18675,3100,13952,799
18685,3088,13838,801
18695,3076,13715,803
18705,3062,13583,804
18715,3050,13448,800
18725,3038,13321,804
18735,3026,13190,801
18745,3011,13047,792
18755,2999,12919,803
18765,2986,12794,805
18775,2974,12655,791
18785,2961,12517,798
18795,2948,12394,811
18805,2936,12260,796
18815,2923,12126,795
18825,2910,12002,803
18835,2899,11876,793
18845,2884,11738,787
18855,2872,11605,808
18865,2859,11485,803
18875,2848,11362,799
18885,2836,11244,802
18895,2825,11134,799
18905,2814,11032,798
18915,2804,10922,797
18925,2792,10815,800
18935,2783,10706,796
18945,2774,10607,800
18955,2761,10497,797
18965,2750,10377,788
18975,2739,10265,801
18985,2728,10164,803
18995,2718,10062,798
19005,2709,9949,793
19015,2699,9835,798
19025,2688,9729,808
19035,2679,9608,793
19045,2667,9478,796
19055,2658,9365,805
19065,2650,9258,803
19075,2641,9144,801
19085,2630,9016,794
19095,2621,8894,803
19105,2611,8769,795
19115,2601,8637,797
19125,2590,8510,802
19135,2582,8386,797
19145,2573,8253,786
19155,2563,8109,792
19165,2553,7967,793
19175,2542,7831,800
19185,2534,7701,807
19195,2527,7570,798
19205,2518,7441,798
19215,2509,7303,797
19225,2499,7151,794
19235,2488,7002,801
19245,2480,6861,803
19255,2471,6719,802
19265,2461,6579,805
19275,2454,6446,804
19285,2447,6311,800
19295,2440,6188,803
19305,2434,6075,802
19315,2426,5961,796
19325,2421,5835,791
19335,2414,5714,800
19345,2409,5603,807
19355,2403,5498,794
19365,2398,5400,806
19375,2393,5305,804
19385,2389,5226,798
19395,2386,5154,802
19405,2383,5073,798
19415,2380,5003,803
19425,2376,4933,801
19435,2374,4891,799
19445,2375,4871,788
19455,2373,4875,802
19465,2374,4873,796
19475,2373,4873,799
19485,2374,4872,801
19495,2373,4872,797
19505,2373,4872,799
19515,2372,4873,798
19525,2374,4873,797
19535,2373,4873,801
19545,2373,4873,798
19555,2373,4874,798
19565,2373,4874,800
19575,2373,4874,800
19585,2373,4875,800
19595,2374,4874,799
19605,2375,4873,798
19615,2373,4874,799
19625,2373,4874,799
19635,2374,4876,798
19645,2375,4877,799
19655,2373,4879,800
19665,2373,4880,797
19675,2374,4881,800
19685,2375,4881,800
19695,2373,4882,797
19705,2374,4882,796
19715,2374,4883,797
19725,2375,4886,798
19735,2375,4887,799
19745,2375,4887,796
19755,2375,4888,801
19765,2376,4887,800
19775,2376,4888,801
